timestamp,elapsed_sec,stage,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T11:59:46.883726,2.747,wrist_min_min,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,33.0,32.0,31.0,30.0,29.0
2026-01-10T11:59:52.451613,8.315,wrist_max_min,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,33.0,33.0,31.0,30.0,30.0
2026-01-10T11:59:58.035577,13.899,wrist_min_min,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,33.0,33.0,31.0,30.0,30.0
2026-01-10T12:00:03.618218,19.481,wrist_max_min,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,33.0,33.0,32.0,30.0,30.0
2026-01-10T12:00:09.184628,25.048,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,33.0,34.0,32.0,30.0,30.0
2026-01-10T12:00:14.752858,30.616,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,31.0
2026-01-10T12:00:20.322161,36.185,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,30.0
2026-01-10T12:00:25.888376,41.751,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,30.0,31.0
2026-01-10T12:00:31.428115,47.291,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,30.0
2026-01-10T12:00:37.008106,52.871,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,30.0
2026-01-10T12:00:42.576850,58.44,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,31.0
2026-01-10T12:00:48.144743,64.008,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,32.0,31.0,31.0
2026-01-10T12:00:53.727662,69.591,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,33.0,32.0,31.0
2026-01-10T12:00:59.295578,75.159,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,34.0,34.0,33.0,32.0,31.0
2026-01-10T12:01:04.863508,80.726,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,34.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:10.431429,86.294,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:15.999335,91.862,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:21.582249,97.445,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:27.148092,103.011,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:32.716090,108.579,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:38.284101,114.147,wrist_min_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,31.0
2026-01-10T12:01:43.852917,119.716,wrist_max_min,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,32.0
2026-01-10T12:01:49.420907,125.284,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,34.0,33.0,31.0,32.0
2026-01-10T12:01:54.988623,130.852,wrist_max_min,23.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,35.0,33.0,31.0,31.0
2026-01-10T12:02:00.556674,136.42,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,24.0,24.0,35.0,35.0,33.0,32.0,31.0
2026-01-10T12:02:06.123417,141.986,wrist_max_min,23.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:02:11.691333,147.554,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,24.0,24.0,35.0,35.0,33.0,32.0,31.0
2026-01-10T12:02:17.211405,153.074,wrist_max_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:02:22.779307,158.642,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,31.0,31.0
2026-01-10T12:02:28.347202,164.21,wrist_max_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,31.0
2026-01-10T12:02:33.930151,169.793,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,31.0
2026-01-10T12:02:39.498070,175.361,wrist_max_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,31.0
2026-01-10T12:02:45.065936,180.929,wrist_min_min,23.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:02:50.633886,186.497,wrist_max_min,24.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:02:56.201764,192.065,wrist_min_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:03:01.785001,197.648,wrist_max_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,35.0,35.0,33.0,32.0,32.0
2026-01-10T12:03:07.352649,203.216,wrist_min_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,33.0,32.0,32.0
2026-01-10T12:03:12.920587,208.784,wrist_max_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,33.0,32.0,32.0
2026-01-10T12:03:18.488137,214.351,wrist_min_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,33.0,32.0,32.0
2026-01-10T12:03:24.052083,219.915,wrist_max_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,33.0,33.0,33.0
2026-01-10T12:03:29.528686,225.392,wrist_min_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,34.0,33.0,32.0
2026-01-10T12:03:35.111216,230.974,wrist_max_min,24.0,24.0,23.0,24.0,24.0,23.0,24.0,24.0,24.0,24.0,24.0,36.0,35.0,34.0,33.0,33.0
