timestamp,elapsed_sec,stage,chunk_index,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T16:21:41.671211,14452.706,wrist_max_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:22:44.247392,14515.282,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:23:46.787535,14577.823,wrist_min_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:24:46.810720,14637.846,wrist_max_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,42.0,39.0,45.0,44.0
2026-01-10T16:25:49.266857,14700.302,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,42.0,39.0,44.0,44.0
2026-01-10T16:26:51.761985,14762.797,wrist_min_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:27:54.465046,14825.5,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T16:28:54.653191,14885.688,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:29:54.775379,14945.81,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:30:54.822603,15005.858,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:31:55.123596,15066.159,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:32:55.296089,15126.331,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:33:55.613078,15186.648,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:34:58.140106,15249.175,wrist_max_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T16:36:00.720078,15311.755,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:37:03.443430,15374.478,wrist_min_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:38:06.080089,15437.115,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T16:39:06.156716,15497.192,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:40:06.440102,15557.475,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:41:09.013980,15620.049,wrist_max_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T16:42:09.298148,15680.333,wrist_min_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:43:11.952279,15742.987,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T16:44:12.188029,15803.223,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T16:45:12.441508,15863.477,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:46:12.646689,15923.682,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,42.0,39.0,44.0,43.0
2026-01-10T16:47:12.882910,15983.918,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:48:13.071590,16044.107,wrist_max_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T16:49:13.370786,16104.406,wrist_min_min,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T16:50:16.052076,16167.087,wrist_max_max,8,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
