timestamp,elapsed_sec,stage,chunk_index,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T14:21:26.976648,7238.012,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:22:29.382696,7300.418,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,42.0,39.0,44.0,44.0
2026-01-10T14:23:32.056032,7363.091,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:24:32.310486,7423.346,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:25:32.433016,7483.468,wrist_max_min,4,29.0,28.0,27.0,28.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:26:35.076081,7546.111,wrist_min_max,4,29.0,28.0,27.0,28.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:27:37.520092,7608.555,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,43.0,43.0
2026-01-10T14:28:37.688726,7668.724,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:29:40.325223,7731.36,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,43.0,44.0
2026-01-10T14:30:42.854191,7793.889,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:31:42.926679,7853.962,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,43.0,43.0
2026-01-10T14:32:43.192753,7914.228,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T14:33:43.204103,7974.239,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:34:43.303737,8034.339,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T14:35:43.460091,8094.495,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:36:43.601333,8154.636,wrist_min_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:37:43.904081,8214.939,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T14:38:46.554865,8277.59,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,41.0
2026-01-10T14:39:46.874423,8337.909,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:40:47.174929,8398.21,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,43.0,44.0
2026-01-10T14:41:47.492089,8458.527,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:42:47.649948,8518.685,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,43.0
2026-01-10T14:43:47.902375,8578.937,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,43.0,44.0
2026-01-10T14:44:48.136079,8639.171,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T14:45:48.217175,8699.252,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:46:48.373551,8759.409,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:47:48.674871,8819.71,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,45.0
2026-01-10T14:48:48.748077,8879.783,wrist_min_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T14:49:48.844471,8939.879,wrist_max_max,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T14:50:51.385165,9002.42,wrist_max_min,4,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,43.0,44.0
