timestamp,elapsed_sec,stage,chunk_index,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T15:21:33.523507,10844.559,wrist_min_max,6,29.0,29.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T15:22:36.205406,10907.24,wrist_min_min,6,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T15:23:38.620429,10969.655,wrist_max_max,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,43.0
2026-01-10T15:24:38.847413,11029.882,wrist_min_max,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:25:41.360120,11092.395,wrist_min_min,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:26:41.666396,11152.701,wrist_max_min,6,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,29.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:27:41.966389,11213.001,wrist_min_min,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T15:28:44.459578,11275.495,wrist_max_max,6,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,47.0
2026-01-10T15:29:46.965757,11338.001,wrist_max_min,6,29.0,29.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:30:49.700089,11400.735,wrist_min_max,6,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:31:52.127084,11463.162,wrist_min_min,6,29.0,28.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:32:52.300089,11523.335,wrist_max_min,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:33:52.602664,11583.638,wrist_min_min,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:34:52.774168,11643.809,wrist_max_min,6,29.0,29.0,27.0,29.0,28.0,27.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,44.0
2026-01-10T15:35:52.995824,11704.031,wrist_min_min,6,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T15:36:55.450556,11766.486,wrist_max_max,6,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,44.0
2026-01-10T15:37:55.708765,11826.744,wrist_min_max,6,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,44.0,44.0
