timestamp,elapsed_sec,stage,chunk_index,m01_temp_c,m02_temp_c,m03_temp_c,m04_temp_c,m05_temp_c,m06_temp_c,m07_temp_c,m08_temp_c,m09_temp_c,m10_temp_c,m11_temp_c,m12_temp_c,m13_temp_c,m14_temp_c,m15_temp_c,m16_temp_c
2026-01-10T15:51:09.901888,12620.937,wrist_min_min,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,42.0,39.0,44.0,44.0
2026-01-10T15:52:12.482268,12683.517,wrist_max_max,7,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,42.0,39.0,45.0,44.0
2026-01-10T15:53:12.670510,12743.706,wrist_min_max,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,45.0,43.0,39.0,45.0,43.0
2026-01-10T15:54:12.731681,12803.767,wrist_max_max,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,45.0,43.0
2026-01-10T15:55:15.383848,12866.419,wrist_max_min,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:56:15.413163,12926.448,wrist_min_min,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:57:18.081200,12989.116,wrist_max_max,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,43.0
2026-01-10T15:58:18.366570,13049.402,wrist_min_max,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
2026-01-10T15:59:21.001852,13112.037,wrist_min_min,7,29.0,28.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,42.0,39.0,44.0,43.0
2026-01-10T16:00:21.217900,13172.253,wrist_max_min,7,29.0,29.0,27.0,29.0,28.0,26.0,29.0,28.0,27.0,29.0,30.0,46.0,43.0,39.0,44.0,44.0
